Вектор Мощи,Скорость перехода через портал,Приток Силы Потока,Ритм магического ядра,Поток Энергий,Сила Левого Потока,Сила Правого Потока,Пламя Стихий,Приток давления Выдоха Истока,Давление выдоха Истока,Печать Чародея,Эмульсия Истока,Дыхание Истока,Тип Вектора Мощи
1.138,12.34656,4172.768,148.4027632097849,6737.96,11.562,11.562,568.712,1.249,6.736,0.0,0.201,0.957,0
6.175,9.25992,29791.926,241.63287623722584,8824.728,246.237,246.237,788.868,2.503,13.291,35.088,0.695,0.959,2
4.161,6.17328,14724.927,162.0506794550199,7808.118,113.806,113.806,651.591,1.656,8.918,17.645,0.349,0.952,1
1.138,12.34656,7013.577,140.9812741644546,6661.22,7.407,7.407,667.503,1.319,7.225,20.473,0.332,0.963,0
5.14,7.7166,21628.629,201.5147380508841,8475.955,175.242,175.242,703.337,2.085,11.107,24.957,0.494,0.981,2
1.138,1.54332,3361.779,142.84319141048215,6592.991,8.461,8.461,545.016,1.215,6.623,9.966,0.185,0.997,0
4.161,6.17328,14718.783,162.0485850599175,7726.054,113.733,113.733,632.571,1.663,8.936,16.869,0.334,0.99,1
2.088,3.08664,3322.63,141.37522988321476,6866.563,23.337,23.337,519.953,1.21,6.454,18.232,0.162,0.954,0
9.3,13.88988,72778.774,372.8462058033839,9769.033,644.923,644.923,1066.16,4.5,22.328,88.078,1.744,0.975,3
2.088,3.08664,3543.053,144.87904816976345,6848.173,29.446,29.446,510.087,1.226,6.538,0.0,0.138,0.968,0
2.088,3.08664,4850.995,140.78785677674858,6818.168,22.375,22.375,575.75,1.26,6.827,23.736,0.228,0.957,0
7.148,10.80324,38980.32,280.447462911838,9135.97,332.139,332.139,837.175,2.96,15.476,44.609,0.883,0.956,3
7.148,10.80324,38995.05,280.4453685167356,9122.539,332.325,332.325,839.416,2.977,15.731,45.048,0.892,0.971,3
6.175,9.25992,29796.494,241.61664467518224,8840.585,246.348,246.348,782.154,2.497,13.156,34.595,0.685,0.953,2
6.175,9.25992,29793.287,241.6261741728981,8828.69,246.24,246.24,779.568,2.502,13.201,34.505,0.683,0.962,2
8.206,12.34656,50993.517,323.32046369611254,9308.844,438.095,438.095,909.392,3.582,18.304,59.184,1.172,0.981,3
5.14,7.7166,21637.62,201.51463333112903,8500.268,175.336,175.336,725.531,2.077,11.128,26.034,0.515,0.95,2
8.206,12.34656,50994.575,323.3245477665622,9309.252,437.956,437.956,926.794,3.584,18.496,60.599,1.2,0.972,3
4.161,6.17328,14722.852,162.04984169697894,7776.888,113.777,113.777,650.466,1.659,8.964,17.63,0.349,0.962,1
4.161,6.17328,14722.64,162.04994641673406,7777.715,113.781,113.781,644.223,1.659,8.922,17.345,0.343,0.966,1
7.148,10.80324,38991.105,280.44777707110336,9128.24,332.177,332.177,818.052,2.971,15.461,43.458,0.86,0.977,3
6.175,9.25992,29796.261,241.6161210764067,8839.156,246.33,246.33,773.59,2.498,13.1,34.085,0.675,0.959,2
2.088,3.08664,4521.959,145.85126637629438,6830.796,31.209,31.209,535.918,1.262,6.754,0.0,0.17,0.975,0
3.144,4.6299600000000005,8380.141,145.22148176900473,7135.12,60.365,60.365,598.568,1.388,7.508,12.78,0.253,0.95,1
8.206,12.34656,50994.536,323.32423360729683,9308.833,437.973,437.973,927.846,3.585,18.516,60.697,1.202,0.972,3
7.148,10.80324,39004.364,280.444007159919,9119.792,332.358,332.358,803.221,2.983,15.494,42.602,0.843,0.997,3
2.088,12.34656,4702.495,140.7788508778083,6810.7,22.353,22.353,572.811,1.255,6.811,23.673,0.224,0.958,0
3.144,4.6299600000000005,8378.442,145.22043457145355,7098.244,60.344,60.344,601.892,1.39,7.57,12.932,0.256,0.957,1
6.175,9.25992,29760.679,241.57035854341945,8781.021,245.943,245.943,775.799,2.518,13.424,34.522,0.683,0.995,2
4.161,6.17328,14717.637,162.04816618089703,7710.637,113.737,113.737,628.211,1.665,8.935,16.685,0.33,0.998,1
7.148,10.80324,38982.104,280.44777707110336,9135.015,332.206,332.206,830.721,2.961,15.442,44.188,0.875,0.961,3
5.14,7.7166,21626.277,201.5129578150472,8465.169,175.256,175.256,713.47,2.088,11.234,25.55,0.506,0.982,2
4.161,12.34656,14720.062,162.04921337844823,7746.855,113.753,113.753,630.495,1.661,8.887,16.749,0.332,0.985,1
1.138,1.54332,267.668,140.9151959989741,6723.539,7.335,7.335,451.241,1.094,5.833,6.793,0.073,0.951,0
3.144,4.6299600000000005,8377.879,145.2201204121882,7094.877,60.345,60.345,585.311,1.39,7.489,12.274,0.243,0.972,1
3.144,12.34656,8374.455,145.21813073684092,7032.52,60.299,60.299,575.51,1.393,7.516,11.913,0.236,0.998,1
3.144,4.6299600000000005,8379.156,145.22095817022915,7119.662,60.353,60.353,591.525,1.389,7.491,12.509,0.248,0.96,1
2.088,12.34656,6615.881,142.2937268553693,6760.942,24.955,24.955,596.201,1.319,7.103,17.852,0.262,0.995,0
8.206,12.34656,50993.441,323.3185787405204,9299.526,438.081,438.081,910.423,3.597,18.507,59.527,1.178,0.992,3
4.161,6.17328,14718.241,162.0485850599175,7722.505,113.724,113.724,624.395,1.663,8.889,16.494,0.327,0.997,1
8.206,12.34656,50990.573,323.3051746118651,9303.329,437.971,437.971,935.459,3.594,18.715,61.471,1.217,0.975,3
7.148,10.80324,39007.036,280.4420174845717,9117.257,332.356,332.356,809.806,2.986,15.591,43.115,0.854,0.996,3
4.161,6.17328,14720.584,162.04931809820337,7753.774,113.762,113.762,633.124,1.661,8.892,16.863,0.334,0.981,1
3.144,4.6299600000000005,8376.574,145.21938737390235,7072.822,60.328,60.328,579.655,1.391,7.487,12.058,0.239,0.983,1
5.14,7.7166,21626.872,201.51348141382272,8467.854,175.253,175.253,710.537,2.087,11.199,25.381,0.502,0.982,2
3.144,4.6299600000000005,8374.557,145.21813073684092,7035.021,60.304,60.304,574.727,1.393,7.508,11.879,0.235,0.998,1
1.138,1.54332,2936.035,148.262857616945,6725.084,11.442,11.442,529.223,1.206,6.49,0.0,0.156,0.962,0
8.206,12.34656,50992.783,323.3159607466424,9300.504,438.076,438.076,896.251,3.594,18.325,58.331,1.155,0.998,3
5.14,7.7166,21626.328,201.5157852484353,8471.979,175.265,175.265,689.73,2.087,11.035,24.237,0.48,0.993,2
2.088,3.08664,3628.164,140.98483463612868,6783.252,22.668,22.668,541.921,1.222,6.646,21.342,0.185,0.965,0
1.138,1.54332,2320.424,137.40519924687337,6643.584,5.521,5.521,546.688,1.168,6.375,31.005,0.195,0.959,0
8.206,12.34656,50996.312,323.3274799197055,9314.373,438.018,438.018,944.614,3.58,18.616,61.932,1.226,0.958,3
1.138,1.54332,984.725,141.548750517448,6635.794,7.584,7.584,470.469,1.125,6.056,9.104,0.098,0.982,0
3.144,4.6299600000000005,8377.741,145.2200156924331,7096.36,60.343,60.343,579.14,1.39,7.455,12.024,0.238,0.977,1
3.144,4.6299600000000005,8376.079,145.21907321463698,7063.992,60.319,60.319,577.909,1.391,7.489,11.992,0.237,0.987,1
9.3,12.34656,72765.346,372.8446350070572,9759.862,644.746,644.746,1087.274,4.515,22.777,90.349,1.788,0.97,3
9.3,13.88988,72767.307,372.8437972490162,9744.479,644.747,644.747,1060.273,4.531,22.712,88.138,1.745,0.989,3
6.175,9.25992,29769.793,241.5907788956677,8811.822,246.042,246.042,754.388,2.508,13.1,33.046,0.654,0.988,2
3.144,4.6299600000000005,8376.899,145.21949209365746,7084.514,60.334,60.334,570.474,1.39,7.425,11.679,0.231,0.988,1
9.3,13.88988,72778.443,372.8466246824044,9784.98,645.113,645.113,1090.799,4.483,22.342,90.01,1.782,0.957,3
3.144,4.6299600000000005,8375.259,145.21854961586138,7052.881,60.301,60.301,568.097,1.392,7.451,11.599,0.23,0.999,1
3.144,4.6299600000000005,8378.983,145.2207487307189,7111.396,60.358,60.358,596.499,1.389,7.526,12.711,0.252,0.958,1
5.14,7.7166,21638.167,201.51547108917,8503.86,175.296,175.296,720.091,2.076,11.072,25.729,0.509,0.951,2
6.175,9.25992,29790.968,241.63507535208336,8819.952,246.257,246.257,770.604,2.505,13.181,34.009,0.673,0.973,2
5.14,7.7166,21637.897,201.51777492378267,8508.803,175.352,175.352,702.473,2.074,10.928,24.767,0.49,0.959,2
2.088,3.08664,3017.01,141.7238419480081,6778.623,23.902,23.902,519.017,1.203,6.534,16.123,0.155,0.969,0
3.144,4.6299600000000005,8380.464,145.22169120851498,7150.103,60.376,60.376,584.443,1.387,7.418,12.209,0.242,0.958,1
5.14,7.7166,21631.356,201.51515692990463,8484.395,175.279,175.279,706.51,2.082,11.083,25.091,0.497,0.973,2
8.206,12.34656,50997.17,323.33397254452296,9317.553,438.076,438.076,938.027,3.573,18.464,61.293,1.213,0.957,3
3.144,4.6299600000000005,8377.284,145.21980625292284,7091.172,60.338,60.338,571.763,1.39,7.424,11.728,0.232,0.985,1
4.161,6.17328,14724.823,162.0506794550199,7807.483,113.801,113.801,648.897,1.656,8.902,17.524,0.347,0.954,1
6.175,12.34656,29766.966,241.5903600166472,8811.102,246.024,246.024,780.814,2.507,13.297,34.659,0.686,0.972,2
5.14,7.7166,21625.423,201.51452861137392,8466.682,175.258,175.258,698.249,2.088,11.122,24.723,0.489,0.991,2
8.206,12.34656,50994.441,323.3191023392959,9311.166,438.105,438.105,944.041,3.585,18.672,61.972,1.227,0.962,3
3.144,4.6299600000000005,8378.193,145.2203298516984,7101.952,60.349,60.349,585.407,1.389,7.481,12.274,0.243,0.97,1
3.144,4.6299600000000005,8376.769,145.21949209365746,7082.619,60.331,60.331,568.849,1.39,7.419,11.613,0.23,0.99,1
8.206,12.34656,50994.344,323.32580440362364,9321.861,438.004,438.004,922.318,3.563,18.182,59.873,1.185,0.959,3
9.3,13.88988,72771.911,372.84599636387367,9764.253,644.912,644.912,1078.014,4.508,22.573,89.344,1.769,0.972,3
9.3,13.88988,72776.004,372.8450538860776,9756.322,645.113,645.113,1054.971,4.515,22.426,87.332,1.729,0.986,3
5.14,7.7166,21629.405,201.51557580892512,8480.48,175.288,175.288,700.047,2.083,11.06,24.759,0.49,0.98,2
3.144,4.6299600000000005,8378.774,145.2206440109638,7110.49,60.348,60.348,589.708,1.389,7.493,12.441,0.246,0.964,1
7.148,10.80324,39005.662,280.441389166041,9116.403,332.451,332.451,827.423,2.986,15.746,44.356,0.878,0.986,3
1.138,1.54332,1799.103,138.02011364893596,6629.567,5.702,5.702,506.935,1.151,6.186,26.605,0.156,0.984,0
2.088,3.08664,6202.263,141.65221363550626,6824.87,23.887,23.887,614.188,1.302,7.081,21.327,0.271,0.953,0
9.3,13.88988,72765.74,372.8437972490162,9768.369,644.976,644.976,1097.287,4.507,22.752,91.078,1.803,0.962,3
2.088,3.08664,2815.509,142.62327992473087,6787.213,25.445,25.445,505.911,1.198,6.478,10.977,0.137,0.971,0
3.144,4.6299600000000005,8379.843,145.22127232949452,7139.3,60.363,60.363,578.51,1.388,7.401,11.976,0.237,0.966,1
2.088,3.08664,3497.635,141.16767532856758,6860.282,22.998,22.998,527.271,1.216,6.496,19.825,0.171,0.954,0
6.175,9.25992,29760.859,241.5710915817052,8784.064,246.001,246.001,777.303,2.517,13.418,34.596,0.685,0.992,2
8.206,12.34656,50993.175,323.3177409824794,9299.174,437.965,437.965,905.359,3.597,18.457,59.12,1.17,0.995,3
9.3,13.88988,72776.957,372.8468341219147,9780.845,645.054,645.054,1088.181,4.488,22.388,89.877,1.779,0.96,3
5.14,7.7166,21632.945,201.5163088472109,8491.679,175.291,175.291,700.391,2.08,11.003,24.729,0.49,0.972,2
6.175,9.25992,29795.598,241.61727299371304,8837.093,246.317,246.317,775.733,2.499,13.127,34.226,0.678,0.959,2
9.3,13.88988,72778.235,372.8447397268122,9763.912,645.153,645.153,1062.596,4.506,22.38,87.871,1.739,0.979,3
8.206,12.34656,50993.954,323.3220344924393,9308.422,438.107,438.107,916.516,3.584,18.394,59.781,1.183,0.978,3
7.148,10.80324,39003.737,280.4445307586946,9120.29,332.319,332.319,802.238,2.983,15.477,42.522,0.842,0.997,3
3.144,4.6299600000000005,8376.594,145.21938737390235,7072.507,60.329,60.329,580.883,1.391,7.494,12.108,0.24,0.982,1
1.138,1.54332,3879.32,145.5243313008108,6640.312,9.82,9.82,557.148,1.237,6.72,4.42,0.194,0.986,0
4.161,6.17328,14718.094,162.04816618089703,7711.991,113.738,113.738,636.017,1.665,8.983,17.044,0.337,0.992,1
4.161,6.17328,14725.397,162.05088889453015,7814.85,113.784,113.784,651.649,1.655,8.907,17.64,0.349,0.95,1
1.138,1.54332,5812.047,146.85416747107536,6732.2,10.675,10.675,613.732,1.299,7.014,0.0,0.256,0.958,0
9.3,13.88988,72764.094,372.8434830897508,9760.519,644.736,644.736,1091.327,4.515,22.819,90.718,1.796,0.968,3
7.148,10.80324,38993.896,280.44798651061353,9127.451,332.221,332.221,805.311,2.973,15.374,42.589,0.843,0.986,3
9.3,13.88988,72762.994,372.8420170131792,9743.847,644.828,644.828,1071.796,4.533,22.869,89.26,1.767,0.984,3
1.138,1.54332,6973.826,140.1019423807148,6705.866,6.965,6.965,662.607,1.314,7.132,23.789,0.33,0.953,0
6.175,12.34656,29761.465,241.57255765827688,8792.212,246.016,246.016,776.47,2.514,13.367,34.5,0.683,0.987,2
7.148,10.80324,39015.887,280.4335351844071,9111.353,332.513,332.513,817.016,2.994,15.755,43.743,0.866,0.999,3
8.206,12.34656,50996.846,323.3298884740733,9315.359,438.042,438.042,944.241,3.579,18.591,61.874,1.225,0.957,3
5.14,7.7166,21628.919,201.5132719743125,8472.602,175.236,175.236,716.134,2.086,11.212,25.659,0.508,0.975,2
5.14,7.7166,21627.117,201.5152616496597,8473.022,175.225,175.225,695.981,2.086,11.072,24.572,0.486,0.988,2
7.148,12.34656,38987.458,280.44767235134816,9130.072,332.265,332.265,829.047,2.968,15.516,44.177,0.875,0.968,3
6.175,9.25992,29761.201,241.57287181754228,8791.227,246.001,246.001,780.838,2.514,13.404,34.77,0.688,0.985,2
4.161,6.17328,14720.948,162.04900393893797,7746.308,113.766,113.766,649.413,1.662,9.01,17.618,0.349,0.972,1
4.161,6.17328,14722.832,162.04973697722383,7774.899,113.78,113.78,651.353,1.659,8.973,17.672,0.35,0.962,1
3.144,4.6299600000000005,8374.989,145.21844489610626,7040.824,60.306,60.306,578.453,1.392,7.521,12.027,0.238,0.993,1
9.3,13.88988,72776.448,372.8476718799556,9784.225,644.818,644.818,1091.654,4.484,22.369,90.112,1.784,0.957,3
9.3,13.88988,72768.234,372.84442556754686,9756.414,645.054,645.054,1077.048,4.518,22.707,89.453,1.771,0.976,3
8.206,12.34656,50994.675,323.3269563209299,9319.842,437.956,437.956,927.391,3.567,18.283,60.346,1.195,0.959,3
9.3,13.88988,72761.662,372.84212173293423,9760.342,645.055,645.055,1096.302,4.516,22.888,91.193,1.805,0.966,3
1.138,1.54332,1082.011,141.0868316776152,6631.348,7.324,7.324,474.821,1.128,6.072,12.291,0.106,0.984,0
9.3,13.88988,72762.137,372.8426453317099,9745.216,645.049,645.049,1074.856,4.531,22.883,89.52,1.772,0.982,3
9.3,13.88988,72759.707,372.8412839748933,9727.597,644.873,644.873,1052.964,4.55,22.92,87.834,1.739,1.0,3
3.144,4.6299600000000005,8380.164,145.22148176900473,7142.349,60.36,60.36,586.824,1.388,7.439,12.308,0.244,0.958,1
8.206,12.34656,50993.481,323.3189976195408,9302.413,438.024,438.024,909.254,3.592,18.435,59.351,1.175,0.989,3
3.144,4.6299600000000005,8378.877,145.2206440109638,7117.307,60.358,60.358,580.658,1.389,7.438,12.074,0.239,0.97,1
1.138,1.54332,768.361,140.55726387597508,6637.028,7.11,7.11,477.887,1.115,6.052,13.666,0.106,0.969,0
9.3,13.88988,72773.227,372.8464152428941,9782.759,645.042,645.042,1098.333,4.488,22.49,90.787,1.797,0.955,3
6.175,9.25992,29760.877,241.56983494464384,8780.01,246.02,246.02,770.466,2.518,13.39,34.203,0.677,0.999,2
7.148,10.80324,38978.048,280.4475676315932,9137.962,332.058,332.058,839.928,2.957,15.463,44.754,0.886,0.952,3
5.14,7.7166,21631.921,201.5165182867212,8489.673,175.307,175.307,696.459,2.081,10.987,24.526,0.485,0.976,2
6.175,9.25992,29798.58,241.6099426108546,8853.161,246.394,246.394,774.103,2.493,13.029,34.042,0.674,0.95,2
8.206,12.34656,50993.9,323.3210920146432,9303.584,437.983,437.983,918.406,3.592,18.515,60.071,1.189,0.983,3
3.144,4.6299600000000005,8376.137,145.2191779343921,7063.025,60.323,60.323,581.588,1.391,7.509,12.142,0.24,0.984,1
8.206,12.34656,50993.392,323.32035897635734,9311.579,437.939,437.939,906.68,3.577,18.216,58.883,1.166,0.979,3
6.175,9.25992,29761.015,241.5673216705209,8798.471,245.937,245.937,786.052,2.511,13.403,35.044,0.694,0.977,2
4.161,6.17328,14725.298,162.05109833404038,7819.961,113.811,113.811,645.004,1.655,8.857,17.333,0.343,0.953,1
9.3,12.34656,72778.972,372.8466246824044,9776.49,645.097,645.097,1078.765,4.492,22.348,89.09,1.764,0.966,3
2.088,3.08664,3097.282,141.5591177732049,6768.169,23.619,23.619,522.776,1.206,6.561,17.348,0.16,0.971,0
6.175,9.25992,29790.519,241.6355989508589,8817.634,246.224,246.224,758.573,2.506,13.105,33.287,0.659,0.982,2
1.138,1.54332,2550.494,137.62678624870654,6631.14,5.538,5.538,536.745,1.176,6.357,29.929,0.191,0.978,0
5.14,7.7166,21638.087,201.51620412745584,8505.549,175.315,175.315,715.143,2.075,11.03,25.459,0.504,0.953,2
5.14,7.7166,21621.51,201.51348141382272,8453.165,175.203,175.203,699.455,2.093,11.204,24.848,0.492,1.0,2
6.175,12.34656,29767.067,241.58596178693224,8810.79,245.991,245.991,766.382,2.507,13.192,33.784,0.669,0.981,2
8.206,12.34656,50989.328,323.29920558582324,9298.021,438.068,438.068,926.007,3.601,18.712,60.84,1.204,0.986,3
1.138,1.54332,4131.221,137.49347800043918,6668.305,5.495,5.495,576.053,1.226,6.579,31.529,0.24,0.973,0
1.138,12.34656,4421.753,140.51338629857997,6619.671,7.045,7.045,580.345,1.243,6.742,21.83,0.237,0.989,0
5.14,7.7166,21635.379,201.51662300647635,8499.318,175.289,175.289,703.085,2.077,10.982,24.841,0.492,0.965,2
5.14,12.34656,21636.222,201.5143191718637,8496.344,175.305,175.305,723.364,2.078,11.134,25.937,0.513,0.954,2
5.14,7.7166,21631.588,201.5164135669661,8488.766,175.267,175.267,697.393,2.081,10.998,24.58,0.487,0.976,2
7.148,10.80324,39012.526,280.4370956560811,9113.282,332.504,332.504,816.241,2.991,15.714,43.647,0.864,0.997,3
7.148,10.80324,38979.283,280.44777707110336,9137.488,332.12,332.12,834.125,2.958,15.426,44.369,0.878,0.956,3
6.175,9.25992,29793.109,241.62554585436743,8827.302,246.223,246.223,769.443,2.502,13.133,33.898,0.671,0.969,2
2.088,3.08664,3353.946,144.69065733030317,6756.957,29.083,29.083,513.648,1.222,6.636,0.898,0.139,0.984,0
2.088,3.08664,3505.527,141.06578300683617,6781.418,22.795,22.795,537.482,1.218,6.628,20.706,0.18,0.966,0
7.148,10.80324,38990.223,280.44735819208285,9128.153,332.247,332.247,824.705,2.971,15.515,43.919,0.87,0.973,3
6.175,12.34656,29760.409,241.56920662611304,8776.989,245.94,245.94,775.424,2.519,13.443,34.522,0.683,0.998,2
2.088,3.08664,5755.299,145.88791829058624,6824.582,31.313,31.313,567.403,1.301,6.966,0.0,0.21,0.979,0
8.206,12.34656,50991.878,323.3108294786415,9302.91,437.961,437.961,930.211,3.594,18.663,61.052,1.209,0.978,3
5.14,7.7166,21632.663,201.5139002928432,8484.793,175.256,175.256,718.459,2.082,11.162,25.728,0.509,0.965,2
