public_petition_text,reason_category
"На 1 этаже возле лифта стены изуродовали граффитисты. 
Просьба привести парадную в надлежащее состояние.",Содержание МКД
"Окно находиться в ужасном состоянии, прошу зашкурить и окрасить в цвет 13 этаж",Содержание МКД
присадка а. б. покрытия у люка,Повреждения или неисправность элементов уличной инфраструктуры
не расчищена дорога,Благоустройство
уберите крупногабаритный мусор с газона,Благоустройство
Не работает освещение. Необходимо заменить лампу на этаже. 5 этаж.,Содержание МКД
Надписи на дверях в подвал парадная 3,Благоустройство
"6 этаж 2 парадная дом по адресу Дыбенко 4 корпус 2 строение 1.
Повреждены соединение подведения ХВС, ГВС - мокрые соединения ХВС, подтекание, следы коррозии на соединениях ГВС.
В шкафу хвс, гвс на лестничной площадке присутствуют микропротечки и коррозия на деталях и соединительной арматуре - видны наросты и позеленение. Сильный конденсат.",Водоснабжение
Несанкционированные объявления на опоре освещения,Благоустройство
Плакат на павильоне,Благоустройство
Добрый день! Просьба закрасить надпись на доме,Благоустройство
уберите,Благоустройство
"на дереве прикреплена реклама, требуется её снять",Благоустройство
Не работают светофоры. Проблема имеет системный характер.,Благоустройство
Незаконное размещение информационной и (или) рекламной конструкции на территории Санкт-Петербурга,Незаконная информационная и (или) рекламная конструкция
прошу восстановить освещение,Благоустройство
Мусор на тротуаре,Благоустройство
у дома отсутствует контейнерная площадка. контейнеры брошены на асфальте без ограждения в нарушение СанПиН. полная антисанитария,Благоустройство
демонтировать рольставню,Нарушение правил пользования общим имуществом
надписи на стенах,Благоустройство
"Много  крыс в подвале. Крысы проникают на лестничные клетки и в квартиры.  В доме находится детский сад!!!
Слабые крысы погибли, их приходится убирать жителям. А сильные только окрепли. Надо мероприятия проводить более тщательно и качественно!  После чего отчитаться где, на какой площади, и какими средствами проводились работы. Жители тоже своими силами травили крыс, возможно это наши результаты. Но крысы на сегодня остались, и это недопустимо!",Санитарное состояние
демонтировать рекламную конструкцию,Незаконная информационная и (или) рекламная конструкция
Подстричь кусты,Благоустройство
объявления на фонаре,Благоустройство
"Здравствуйте.
 Повреждения дорожного покрытия проезжей части (59.861458, 29.955402).
Спасибо.",Благоустройство
мусор вдоль Рехколовского шоссе,Благоустройство
Окно заколочено,Благоустройство
Грязь! Никто не убирает без жалоб!,Содержание МКД
"В подъезде N2 магнит замка не зафиксирован, дверь открывается без ключа.",Содержание МКД
разбито стекло на переходной двери 14 этаж 2 парадная,Содержание МКД
Прошу закрасить граффити,Благоустройство
ул. Окраинная д.9 литер Б во дворе со стороны парадных огромная яма!,Благоустройство
Реклама на фонарном столбе.,Благоустройство
возможно незаконная вывеска на магазине,Незаконная информационная и (или) рекламная конструкция
"На газоне мусор, куски асфальта, бетонная плита.",Благоустройство
"На втором этаже в ненадлежащем состоянии содержится мусоропровод. В стволе находится сквозное отверстие. За стволом, в полу ещё два отверстия через которые проникает неприятный устойчивый запах из мусорной камеры в места общего пользования второго этажа дома. Вентиляция помещений отсутствует, предположительно из-за засорившийся  решетки вентиляционного канала. Просьба, провести ремонт ствола мусоропровода, загерметизировать отверстия в полу за ним, восстановить вентиляцию помещения. Провести проверку санитарного состояния мусорной камеры с целью определения источника неприятного запаха.",Содержание МКД
"Неудовлетворительное состояние Люка у здания Военно-Морской академии им Кузнецова, со стороны Ушаковской набережной",Повреждения или неисправность элементов уличной инфраструктуры
Самовольное размещение роллет,Нарушение правил пользования общим имуществом
"энгельса 129 кор 1 парадная 1 этаж 1
сбита плитка согласно фотофиксации",Содержание МКД
Мусор на газоне. Необходимо убрать.,Благоустройство
Нет освещения детской площадки,Благоустройство
"После замены напольного покрытия надо восстановить окраску стен рядом с плинтусами. Парадная 6, этаж 2.",Содержание МКД
"двери на 22 этаже и пожарной лестнице не закрываются, притирают об пол",Содержание МКД
снег на дороге,Благоустройство
"Реклама 
XXXXXXXXXX
 на стене дома, Кирочная, 14",Благоустройство
Надписи на стенах,Благоустройство
"Плохо горит свет 
Просьба заменить лампочку
Со стороны улицы , где магазин торговый центр",Содержание МКД
Повреждения дорожного покрытия проезжей части,Благоустройство
"За домом №3 Придорожная аллея отсутствует крышка люка. Открытый люк находится на газоне, за забором, 
почти напротив входа на детскую площадку",Повреждения или неисправность элементов уличной инфраструктуры
"Прошу очистить асфальт от песка, грязи и пыли",Благоустройство
Надписи на стенде.,Состояние рекламных или информационных конструкций
мусор в виде покрышки. нужно убрать,Благоустройство
"Вазон без цветов.
Необходимо насыпать плодородный грунт и посадить многолетние цветы.",Благоустройство
"незаконная глухая решетка на фасаде в нарушении противопожарной ТБ.
подьезд 1.",Нарушение правил пользования общим имуществом
неубранный снег,Благоустройство
Убрать,Благоустройство
прошу заделать ямы,Благоустройство
Во дворе снег не убран. Теперь еще - гололед и лужи.,Благоустройство
"В 2019 году проводились работы по благоустройству и на этом участке нет ни отводов, ни дренажа, эти работы проводил отдел благоустройства местной администрации (муниципалы), они потом пытались исправить, но без результата. Сейчас все хуже – топит и топит, колодец, который у самого угла – дренажный, он никуда не ведет, а они просверлили в люке дырки, в результате он переполняется, и вода только прибывает. Дальше течет в подвал, а оттуда уже распространяется сырость и плесень.",Благоустройство
"Очистить дорожные знаки от самоклея, не оставляя следов бумаги и клея.",Благоустройство
"Обледеневшие тротуары, необходимо посыпать песком",Благоустройство
Мусор на газоне в виде покрышек,Благоустройство
валяется бум.мусор,Благоустройство
Предложение по установке ограждения газона для ограничения заезда машин,Благоустройство
Покрасить лавочки,Благоустройство
уберите,Благоустройство
сильный запах помойки на всех этажах.,Санитарное состояние
Проверить законность рекламной вывески,Незаконная информационная и (или) рекламная конструкция
Мусор около университета. Прошу разобраться и предотвратить складирование мусора,Благоустройство
"Надпись на стене дома при входе в арку со стороны ул. Стремянная. 
XXXXXXXXXXXXXXXXX XXXXXXX XXXXXXX X XXXXXXXXXXXXXXXX XXXXXXXXXXXXX XXXXXXXXX",Благоустройство
Прошу убрать мусор,Благоустройство
Мусор на лестнице лежит уже три дня.,Содержание МКД
Необходимо демонтировать незаконную рекламную конструкцию,Незаконная информационная и (или) рекламная конструкция
Несанкционированные надписи на стенах домов.,Благоустройство
очистите,Благоустройство
"безобразное состояние проезжей части по Галерному проезду, на перекрестке с Парусной улицей. машинам не проехать по направлению к ул. Нахимова. на остановке не подойти к институтском у автобусу",Благоустройство
14 этаж. Отваливается штукатурка в общем коридоре.,Содержание МКД
"предлагаю оградить газон , забором. т.к здесь регулярно паркуются авто.",Благоустройство
прочистить замёрзшую водоотводящую трубу паром (как показывают по ТВ это делает Водоканал!),Благоустройство
Надписи на фасаде дома / у ворот 1 двора,Благоустройство
Трещина,Благоустройство
ямы на дороге,Благоустройство
Надписи на стенде.,Состояние рекламных или информационных конструкций
граффити на стенах дома со стороны литейного проспекта,Благоустройство
"Отсутствуют доводчики на дверях. 7 парадная, 1 этаж, входные двери. Михаила Дудина, 12",Содержание МКД
"Не убран снег на остановках Орлово-Денисовский пр., из за невозможности подъехать вплотную к остановке, людям не войти в автобус, особенно с коляской и пожилым людям, хотя начиная с Парашютной ул. ,Выборгское шоссе, Хошимина все убрано, а Суздальское шоссе и наша остановка нет. Непонятна логистика уборки. Прошу принять меры по постоянной уборке остановок Орлово - Денисовский пр",Благоустройство
Требуется проверить законность размещения выделенной рекламной (информационной) конструкции на здании.,Незаконная информационная и (или) рекламная конструкция
"кустарник перед домом давно не подстригался, выглядит не ухоженно, угрожает безопасности прохожих",Благоустройство
Надписи на информационной табличке. Фотофиксация- 06.04.2021г.,Благоустройство
Мусор,Благоустройство
"15.02.2021г уже было обращение, вхN3206115, по поводу выставления стритлайна с рекламой скупки на газон. 
18.02.2021 получен ответ с фотофиксацией об устранении проблемы. 
На сегодняшний день незаконная рекламная конструкция опять выставлена на газон. Прошу привлечь к административной ответственности данную организацию и руководителя за игнорирование требований и законодательства.",Незаконная информационная и (или) рекламная конструкция
Несанкционированные надписи.,Благоустройство
Мусор на газоне у дома №39 на улице Моховая,Благоустройство
Убрать мусор у 1-го подъезда.,Благоустройство
"На въезде во двор находится огромная яма, которую некоторое время назад засыпали гравием, но это ни к чему не привело",Благоустройство
Прошу восстановить лестницу,Благоустройство
Граффити,Благоустройство
Мжеду 5 и 4 этажами необходима влажная уборка перил,Содержание МКД
Требуется удалить надписи,Благоустройство
Разбита напольная плитка в холле первого этажа 3 парадной возле грузового лифта.,Содержание МКД
самовольная камера видео наблюдения.,Нарушение правил пользования общим имуществом
"Неубранный снег на Московском проспекте, правая крайняя полоса и места парковки вдоль проспекта. Невозможно выехать с места парковки. Невозможно заехать на место парковки. Отсутствии реакции в течении в 2-х дней на жалобу по горячей линии комитета благоустройства (жалоба N 2413)",Благоустройство
"Наледь на аллее парка.
Фото в ответе сделаны с другого места парка, там дорога с асфальтом, на указанной мною аллее-гравий. По всем сообщениям ответчик даёт 2 фото сделанные в центре парка.",Благоустройство
Мусор в приямке,Благоустройство
Прошу убрать загромождения из складируемых вещей с лестницы ведущей в подвал! 2 Парадная,Содержание МКД
Убрать горы мелкого мусора с газона!,Благоустройство
Несанкционированные объявления борделей на опоре освещения,Благоустройство
очистите,Благоустройство
На чердаке над парадной 3 течет вентиль на системе отопления,Центральное отопление
очистить,Благоустройство
"В единственной парадной дома на ветеранов 150, на лестничных площадках присутствуют недостатки изоляции отопительных магистралей: некоторые повреждены, некоторые отсутствуют. Прошу принять меры.
Проблема не устранена.
Работы выполнены бездумно и лишь бы отстали. Старую теплоизоляцию не удосужились вынести и кинули в 3х метрах от места замены. Замены проведены некачественно, на фотографиях в приложении видны прогалины в теплоизоляции.
Полагаю, что помимо замены изоляционного материала стоило нанести защитное покрытие на изоляцию.
Замены произведены только в тех местах, которые были сфотографированы при подаче жалобы, в остальных местах посмотреть и заменить не догадались. 
Прошу провести работы качественно.",Водоснабжение
Отсутствует освещение на 1 этаже 2 подезда,Содержание МКД
"На колонне в арке между 7 и 8 секцией светлая заплатка краски, которая выделяется на фоне цвета фасада (на фото выделено овалом). Прошу убрать.",Фасад
"Энгельса 140, газель госномер Н577МС47. Отсутствует передняя оптика (штатная противотуманка). Требую убрать автохлам.",Благоустройство
ямы в асфальте вдоль поребрика,Благоустройство
Мусор вне контейнера.,Содержание МКД
Рисунки (ближе к 20 дому),Благоустройство
"Неудовлетворительное состояние парадной

Грязные стены, нужно помыть (7 парадная)",Содержание МКД
"Привести в порядок со всех сторон от рекламы, не оставляя следов бумаги и клея.",Состояние рекламных или информационных конструкций
переполнен мусоропровод в 11 парадной между 1 и 2 этажом,Санитарное состояние
Просьба решить данную проблему.,Благоустройство
"люк просел, образовалась яма. требуется переустановить люк ровно.",Повреждения или неисправность элементов уличной инфраструктуры
"Требуется произвести работы по качественному ремонту асфальтового покрытия Картой, соблюдая технологии. 

Фотофиксация от 31.10.прилагается.",Благоустройство
ямы во дворе,Благоустройство
очистите о о,Благоустройство
объявления и рисунки на знаках,Благоустройство
Неубранный снег,Благоустройство
нелегальная торговля мимозами,"Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)"
"неисправности оборудования на детской площадке, ( сломаны ручки , прогнившие либо оторваны элементы, качели жутко скрипят)",Благоустройство
новоизмайловский проспект в районе дома #3. крайняя правая полоса засыпана снегом. Мешает проезду и парковке транспортных средств,Благоустройство
бесхозная металлоконструкция. Нужно демонтировать,Благоустройство
"несанкционированная реклама на облицовке шахты лифта, 9 этаж, парадная 6",Содержание МКД
"неубранный снег, требуется посыпка",Благоустройство
Прошу очистить дорожку от льда,Благоустройство
8 парадная. Сломаны почтовые ящики,Содержание МКД
"Пятая парадная, межквартирный холл второго этажа. Из-за плохой укладки проводов не закрывается ревизионный люк. И похоже неисправен замок люка.",Содержание МКД
"Самовольно установили кондиционер, ни с кем не согласовывали, прошу принять меры.",Нарушение правил пользования общим имуществом
Просьба убрать мусор. Спасибо,Благоустройство
"Гранитная д.52: вдоль всего дома многочисленные ямы, выбоины глубиной до 10 см в асфальтом покрытии.
Необходимо произвести качественный ремонт придомовых дорог. Частичное ""латание"" дыр не работает!!!
Спасибо!",Благоустройство
"Во время уборки наледей с крыши дома разбили единственный источник света во всем дворе. В ночное время приходится заходить в парадную на ощупь. Кроме этого, должное освещение отсутствует во всех дворах дома. Страшно и опасно ходить в темное время суток как в сторону Невского проспекта, так и в сторону улицы Восстания (двор проходной).",Содержание МКД
"много мусора, бутылок, листвы",Благоустройство
гололед о о,Благоустройство
"Прошу убрать незаконно установленную рекламу. Прошу учесть, что после каждой Вашей проверки хозяин магазина перевешивает свою рекламу на новое место!",Незаконная информационная и (или) рекламная конструкция
Убрать,Благоустройство
Мусор на газоне вдоль забора,Благоустройство
Мусор на внутридворовой территории.,Благоустройство
"надписи, бремя содержания собственником не выполняется, прошу обязать собственника своевременно устранять надписи, а не раз в 3 месяца

Согласно ст. 210 Гражданского Кодекса Российской Федерации (часть первая) 30.11.1994 №51-ФЗ (ред. от 16.12.2019) собственник несет бремя содержания принадлежащего ему имущества, если иное не предусмотрено законом или договором.",Благоустройство
Яма на проездной части . Прошу привести полотно в надлежащее состояние,Благоустройство
провал грунта у колодца,Повреждения или неисправность элементов уличной инфраструктуры
5 этаж отсутствует опломбировка пожарных щитков,Содержание МКД
граффити на заборе,Благоустройство
Мелкий мусор ( бычки/ предметы гигиены). Просьба УК убрать,Благоустройство
"Требуется произвести работы по качественной очистке дорожного знака от несанкционированного рекламного объявления, не оставляя следов. 

Фотофиксация от 18.03.прилагается.",Благоустройство
песок,Благоустройство
"В обозначенном месте, длительное время стоит разукомплектованный автомобиль с отсутствующим боковым стеклом.

В соответствии с подпунктом 1 пункта 3 статьи 30 Закона Санкт-Петербурга от 12.05.2010 № 273-70 «Об административных правонарушениях в Санкт-Петербурге» под разукомплектованным транспортным средством понимается:

1) транспортное средство, у которого отсутствуют одна или несколько кузовных деталей (предусмотренные конструкцией капот, дверь, замок двери кузова или кабины, запор горловин цистерн, пробки топливного бака) и(или) ОТСУТСТВУЮТ ОДНО ИЛИ НЕСКОЛЬКО СТЕКОЛ, внешних световых приборов, колес, шин;

2) сгоревшее транспортное средство.
В соответствии с вышеуказанным данный автомобиль считается разукомплектованным и подлежит вывозу с объекта благоустройства.",Благоустройство
"На территории земельного участка кадастровый номер 78:14:0007546:6154 предназначенного для размещения образовательного учреждения осуществляется стихийная парковка транспортных средств. В результате заезда автотранспорта происходит нарушение грунтового покрытия в результате чего налипающий на колеса  грунт разносится по прилегающей территории и Варшавской улице.
 Въезд на участок осуществляется с двух сторон - из дворового проезда между домами 23 к. 3 и 23 к. 2 по Варшавской ул., а также между д.23 к. 2 и 23 к.1.
Прошу принять меры по предотвращению стихийной парковки и установить газонные ограждения в зонах въездов со стороны дворовых проездов (места обозначены на прилагаемой схеме).",Благоустройство
"Добрый день! Двор дома по адресу Курляндская улица 29-31 в очень загрязнённом состоянии. В нем куча песка, пожухлых листьев и мусора",Благоустройство
"Около 3 недель назад обращалась с проблемой в ЖЭК. Суть в том, чтобы пошла горячая вода, надо было ожидать с включенным краном 10 минут, при этом счётчики крутятся. После этих ожиданий, душ принимали под контрастным душем-никогда не знаешь, какая вода польется, кипяток или ледяная. На данный момент ничего не изменилось. Я до сих пор не могу сходить в душ без приключений, ситуация стала еще хуже. Вода льется так же ледяная, что утром, что вечером.",Водоснабжение
Сломан лифт  парадная 24,Содержание МКД
Реклама на трубе.,Благоустройство
очистить,Благоустройство
Граффити,Благоустройство
"1 парадная. Разбито зеркало в лифте первой парадной. Лифт у нас временно облицован фанерой, зеркало разбито под фанерой, за ручкой лифта.  
1 фотография самого лифта, на второй фотографии под ручкой виден кусок разбитого зеркала. Просьба заменить разбитое зеркало.",Содержание МКД
В 3 парадной пассажирский лифт стоит на 9 этаже без движения вторые сутки.,Содержание МКД
не убрана осеняя листва. просьба убрать,Благоустройство
граффити на заборе,Благоустройство
лужи,Благоустройство
"Зеленый низ дома, надо помыть.",Фасад
Мусор на детской площадке не убирается,Благоустройство
Нет уборки дворовой территории от снега. Подзоды к паралным не расчищены,Благоустройство
Отсутствие горячей воды в течение 5 календарных дней.,Водоснабжение
"Не убрана спортивная площадка, листья, подушка, одеяло...",Благоустройство
"Мусор, листва, грязь",Благоустройство
Кондиционер,Нарушение правил пользования общим имуществом
"Закрасьте, пожалуйста, граффити вандалов. Подъезд №1.",Благоустройство
граффити на отдельно стоящей рекламной конструкции,Состояние рекламных или информационных конструкций
"2 парадная 12 этаж,прилифтовой холл выход на общий балкон,сломан доводчик на входную дверь",Содержание МКД
между 2 и 3 этажами. грязные стены,Содержание МКД
"требуется установить ещё один оградительный камень, так как между установленными большое пространство и  на тротуар всё равно ставят автомобили. с коляской приходится обходить их по дороге .",Благоустройство
Прошу восстановить освещение на пандусе,Благоустройство
демонтировать провода,Благоустройство
надписи,Благоустройство
"кольцо люка сдвинуто, опасно",Повреждения или неисправность элементов уличной инфраструктуры
"Нет стекла на дверях, черная лестница , этаж #9",Содержание МКД
"X XX XXXXXXX X X XXX XXXXX XXXX XXXXXXXXX XXXX XXXXX XX XXX XXX XX XXXXXXXX XXXX X XXXXXXXX XX X XXX XXXXX X XXXXXXXXX XXXXX XXXXXXXXXXXXXXXXX XXXXXXXXXXXX XXXXXXXXX X XXXXX XXXXXXXXXXXXXX XXXXXXX XXXXXXXXXXXXXXX XXXXXX XXXXXXXXXXXXXXXX XXX XXXXXXXXXXXXXX X XXXXX XXX XXXXX X XXX XXXX XXXXXXX XXXXXXX X XXX XXXXXXXXXXXXXX X XXX XXXXXXXXXXXX XXXXXXXXX X XXXXXXXXXXXX XX XXXXX X XXX XX XXXXXXXXX XXXXXXXX X XXXXXXXXXXXXX XXXXXXXX XXXXX X XXXXXXXXXX


Свет в подвале парадной 2 ПРОДОЛЖАЕТ ГОРЕТЬ КРУГЛОСУТОЧНО с момента опубликования 12 ноября 2020 г. проблемы № 3010355. 

А ещё жкс-3 ставит во все последующие отчёты по данной проблеме фото, которыми отчитался за выполнение сообщения от 12 ноября 2020 г. проблемы № 3010355
Сравните фото в отчете от 30.11.20 по проблеме  № 3031680 и фото в отчете от 10.12.20 по проблеме № 3053505",Содержание МКД
В подъезде 19 в малом пассажирском лифте уже несколько дней при остановке и открытии дверей выдается голосовое сообщение из динамика на английском языке: «Лифт безопасно остановился на нижнем этаже. Пожалуйста покиньте лифт!». Просьба проверить безопасность эксплуатации лифта и отключить это голосовое сообщение.,Содержание МКД
"Просьба убрать рекламу интернета 
30 пар",Содержание МКД
"несанкционированные надписи на трансформаторной будке прикрепленной к стене дома 10 к1Г (дворовая сторона дома, к школе и стадиону)",Благоустройство
Мусорная свалка,Благоустройство
Наледи и сосули,Кровля
снег на дороге,Благоустройство
Открыт вход в подвал. Закрыть на замок.,Подвалы
Граффити на светофоре,Благоустройство
Просьба стереть надписи. Спасибо,Благоустройство
"значит по правилам пожарной безопасности перегородки надо сносит а что значит короб для электро проводки из дерева. пусть управляющая компания переделывает, за что мы деньги им платим",Содержание МКД
не горит одна лампочка в арке,Содержание МКД
"Адрес ул Большая Посадская дом 9/5, лестница 10. Не соблюдается график уборки подъезда",Содержание МКД
Сломана коробка вокруг лифтового оборудования,Содержание МКД
На 9 этаже секции А моп уже месяц не убирают,Содержание МКД
"Висит график на октябрь, уборка не производится. Мусор, грязь на подоконниках, следы краски на полу.",Содержание МКД
Надписи на стенах.,Благоустройство
мусор возле дома,Благоустройство
очистите о о,Благоустройство
"Прошу проверить законность размещения / установки информационной и (или) рекламной конструкции, изображенной на прилагаемых фото и в случае несоответствия принять меры по его устранению.

Примечание - рекламная информация (конструкция) представляет собой виниловую пленку на наружной поверхности стеклопакета 

Адрес: Автовская, 15",Незаконная информационная и (или) рекламная конструкция
