,state1_feature1,state1_feature3,state1_feature4,state1_feature5,state2_feature1,state2_feature3,state2_feature4,state2_feature5,collision,state1_feature2_A,state1_feature2_B,state1_feature2_C,state1_feature2_D,state1_feature6_A,state1_feature6_B,state1_feature6_C,state1_feature6_D,state2_feature2_A,state2_feature2_B,state2_feature2_C,state2_feature2_D,state2_feature6_A,state2_feature6_B,state2_feature6_C,state2_feature6_D
84,0,2,13.826534387687106,1,1,3,51.12048295179855,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
85,0,5,42.97370089297785,1,0,4,87.89855206373956,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
86,1,4,42.483073664331116,1,1,1,69.14063473751175,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
87,0,4,41.705320370292064,1,1,4,85.86160862901174,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
88,1,2,66.37983920426683,1,0,5,32.83794230780504,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
89,1,2,48.982806054672245,0,1,4,71.19791283374958,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
90,1,1,51.74325598129631,0,1,4,65.30489715116165,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
91,1,3,43.23559921467647,0,0,1,57.16164606504173,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
92,1,2,99.16994610185625,1,0,5,52.822486523050884,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93,1,3,92.75613488190422,0,0,3,55.0977883139597,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
94,1,2,30.772418936437095,1,0,1,84.9671089726699,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
95,1,5,11.159392476666719,1,0,5,91.5994501004145,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
96,1,5,83.97647240386028,0,1,5,11.286046438523822,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
97,1,1,99.71702514257245,1,1,4,56.87715775903344,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
98,1,1,29.26088940396455,0,1,2,91.84084224732347,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
99,0,3,35.778492584176625,1,1,2,13.473998515909413,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
100,0,2,94.16331814852029,0,1,3,41.285937329690626,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
101,1,4,71.11295180030899,0,0,4,8.908017135090397,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
102,1,1,29.563833177963616,0,0,2,11.347640200973741,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
103,1,4,58.10464912839151,0,0,1,90.41108125595333,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
104,1,4,94.4229579364256,1,0,3,44.617958483049335,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
105,1,2,81.18131069457786,0,1,4,68.87396540045985,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
106,1,3,74.18327137286596,1,0,1,13.891442324353331,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
107,1,2,73.69963117270224,0,0,2,2.194748239275579,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
108,1,1,17.802032429227033,0,1,2,89.0483957348864,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
109,0,4,82.46812392279365,0,1,2,57.45456395490219,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
110,1,2,27.611863244345813,1,0,2,1.9987755571006849,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
111,0,2,93.03666579015295,0,1,5,99.23394809279871,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
112,1,2,36.4639991013783,0,1,3,49.2192383013758,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
113,1,1,85.76603970422565,1,0,3,47.587650816527585,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
114,0,3,26.623349451780143,0,1,2,62.091418432262124,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
115,1,2,51.45269365822405,1,0,3,0.790453419546211,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
116,0,1,10.688529548906056,0,1,1,56.913837370644,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
117,1,4,66.0118902996174,0,1,1,62.94839039896568,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
118,1,5,83.60792751668383,0,1,3,29.69535681030726,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
119,0,1,71.8447281302416,1,1,2,72.68524097682985,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
120,1,5,52.32585129386573,0,0,4,37.74318162179677,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
121,0,2,4.51158786014595,0,1,2,71.77731344581402,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
122,1,2,93.34410071708584,0,0,5,14.38251784525143,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
123,0,1,70.54895485786346,1,0,4,91.3697816041018,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
124,0,5,74.5864238365333,1,1,5,87.94573736562602,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
125,1,2,79.46805755108072,1,1,3,15.062647608777057,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
126,1,4,74.77434259276107,1,0,5,93.8453937085521,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
127,0,3,44.11161640983337,1,1,3,55.77802727672739,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
128,1,3,73.36218292879468,1,1,5,70.16496783649684,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
129,1,2,62.50267878103289,0,0,4,84.02937923765286,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
130,1,5,85.40163336687866,0,1,5,8.356994708000364,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
131,0,2,80.24598153373704,0,0,2,16.928435746616653,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
132,0,5,4.1374382467259885,0,1,3,29.03909214859618,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
133,0,4,37.888709033260525,0,1,1,47.720448138701364,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
134,0,5,3.4716152183894566,1,1,5,34.605450629874056,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
135,0,2,10.207492476609792,1,1,3,50.584637694205306,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
136,0,4,60.14107220036114,1,1,1,18.591702734373627,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
137,0,1,87.38218211622534,0,1,3,68.21541399331646,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
138,0,3,11.982475870926724,1,0,3,5.573488118373115,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
139,0,2,45.108928746683155,0,0,1,36.14495062079616,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
140,1,2,91.08789048064438,1,1,1,17.90332446711226,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
141,0,2,81.43009836715878,0,1,4,72.99332718706803,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
142,1,4,51.96678964659299,1,0,5,88.36533388299114,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
143,1,1,77.1571439328831,0,0,5,7.87862092034749,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
144,1,5,52.2693774044537,1,0,3,78.50378558663999,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
145,0,1,15.809233728284877,0,1,2,89.57222937221022,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
146,0,4,12.47361132216791,1,1,2,97.39702166140552,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
147,0,2,18.836823206706978,0,1,3,57.9386250945089,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
148,0,3,35.092209496567946,0,0,4,32.739188600740675,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
149,1,2,93.05292676740187,0,0,1,32.19735998673302,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
150,0,5,79.96784136536014,0,1,3,37.89700792944526,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
151,0,3,43.28015612263175,1,0,5,61.26674073276269,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
152,0,2,49.3076709787574,1,1,2,49.0230012139125,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
153,0,3,26.560945766641485,1,1,2,65.3635026406835,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
154,0,1,70.43529564721301,0,0,2,3.931387352957616,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
155,1,4,80.2765671462038,1,1,4,10.588155038111369,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
156,0,2,23.890469566757655,0,0,5,97.6539499426761,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
157,1,5,4.182162378646536,1,0,4,99.53855021862385,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
158,0,1,62.38889431629704,0,1,1,74.66588171393899,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
159,1,2,56.25121191353166,1,1,3,25.639715018102983,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
160,0,1,40.21311550288764,0,0,3,95.338173440055,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
161,0,5,64.38939417732101,0,1,2,21.370279379170356,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
162,1,2,55.06132979851436,1,0,2,73.14313224276057,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
163,1,5,25.05815765941928,1,1,1,11.525831169203881,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
164,1,3,39.772897562272234,1,0,4,64.8904498559834,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
165,0,5,42.81135697472417,0,0,5,75.9515003356136,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
166,1,3,88.02479944755636,0,1,1,85.96401445880826,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
167,0,2,96.09041541289595,0,1,3,73.43061396880105,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
168,0,3,89.3001362396497,1,0,3,92.3485355355452,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
169,1,2,71.91780240519796,0,0,4,52.0923257900725,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
170,1,2,58.49927336058218,1,0,1,67.74286068933277,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
171,0,4,68.9261635465955,0,0,5,36.9550085088352,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
172,0,2,93.91092207326889,1,1,1,1.0389449289312513,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
173,1,3,24.999873522383176,0,1,1,75.66929554673403,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
174,1,4,53.51205076734049,0,1,4,86.98606478712057,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
175,1,4,68.96080190004079,1,0,5,17.392447700972703,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
176,0,2,67.92470013242746,0,1,3,2.864075166529112,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
177,0,5,25.227895957683643,0,0,2,16.450184550146364,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
178,0,5,58.67315273897519,1,0,5,89.5289293239289,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
179,0,4,79.59131424201564,0,1,3,29.55103893713298,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
180,0,2,47.50789800502439,1,1,4,23.37041148536717,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
181,0,5,79.3298076698735,1,0,5,1.458982484321636,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
182,1,2,35.988259775455475,0,0,5,29.705514721006622,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
183,0,2,93.8760127163759,0,1,3,71.56390770222363,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
184,0,4,53.3928440499101,0,0,3,95.90892883762197,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
185,0,4,59.59479507926143,1,1,1,31.27412324376333,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
186,1,1,3.1361568804588402,0,1,1,24.068532021069323,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
187,0,5,17.026913712859425,1,0,5,88.80690204626343,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
188,0,5,63.29338804710447,0,0,2,85.25048508322286,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
189,1,5,41.987037178227126,0,0,4,32.81604201436864,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
190,0,3,50.81637904581747,1,0,3,6.880515375705398,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
191,0,2,6.297140873370044,0,0,1,99.19894404667427,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
192,0,4,83.41352384103843,0,1,4,68.07042874617848,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
193,0,5,78.45056022962173,0,1,5,92.65804970841343,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
194,0,1,18.53539757218495,0,1,3,34.18744743194615,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
195,1,5,63.432935725737934,0,1,3,64.76854190829941,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
196,1,2,81.83152116542716,1,0,1,67.44972302066128,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
197,1,2,64.08541364156,0,1,2,87.2905467538919,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
198,0,4,31.039809529584485,1,0,3,99.3058037116004,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
199,0,3,65.61111504781671,0,0,2,10.866617852398663,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
200,0,4,21.046174768321222,0,0,4,63.11168454304315,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
201,1,5,31.825499727942088,1,0,3,33.643994836258614,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
202,0,1,24.006965310717867,0,0,3,81.1658427060122,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
203,0,4,55.692510239020656,0,1,2,75.41479847464423,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
204,1,3,10.822664676554862,1,0,1,89.25185242239138,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
205,0,4,93.33103803483387,1,0,5,34.37028772804831,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
206,1,2,33.35123536628668,0,1,4,18.453034415776504,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
207,1,5,21.89701271058013,1,1,3,2.18016771511641,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
208,1,5,49.65498136018313,1,1,1,25.550668371821118,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
209,0,5,27.699781845471605,1,0,3,36.7171539755231,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
210,0,5,53.490408638264434,1,0,4,94.6066985947992,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
211,0,5,34.85091497820855,0,0,5,49.13726338472527,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
