,Ритм магического ядра,Поток Энергий,Пламя Стихий,Печать Чародея,Эмульсия Истока,Дыхание Истока,Тип Вектора Мощи,Общая сила потоков,Общая сила ядра,Общее давление,Магическая производительность,Эффективность ядра,Магическая мощность
611,372.847986039221,9787.677,1100.103,90.816,1.798,0.952,Сильный,74063.71699999999,27133689.67049638,26.898,7.725183537263626,15091039.861232692,17608.969204212
3679,323.3250713653378,9316.466,923.252,60.105,1.19,0.965,Сильный,51870.483,16487776.102359368,21.878,10.375260504201682,13855274.035596108,4875.072114639998
2114,372.842750051465,9767.803,1105.254,91.846,1.818,0.959,Сильный,74051.621,27128633.177930925,27.379,,14922240.471909199,18379.625973587998
4635,138.88886873740867,6679.81,626.647,27.628,0.296,0.969,Слабый,6028.773999999999,835594.878762972,8.203,5.213918918918919,2822955.671496527,-265.51870706399984
5733,139.17224039476247,6644.226,472.465,18.87,0.108,0.974,Слабый,710.891,97171.5891382675,7.087,14.290000000000001,899736.9364654399,-201.70863486000002
5993,372.8456822046084,9761.745,1073.816,89.006,1.762,0.975,Сильный,74061.69900000001,27132767.37126449,27.076999999999998,7.883019296254257,15398846.408209132,16117.091231984
3753,142.77721796475677,6654.782,470.147,1.952,0.088,0.966,Слабый,778.2750000000001,108745.83973120312,7.172,17.537727272727274,1235748.1787636718,-167.78939900799998
3166,323.3268516011748,9315.543,929.783,60.665,1.201,0.963,Сильный,51870.865,16487996.215202877,21.975,10.280233139050791,13728556.38235044,5114.316091425001
2602,140.77581400490982,6791.189,580.269,23.922,0.232,0.961,Слабый,4916.452,685825.4165333034,8.135,13.30448275862069,2956144.03678148,-293.91423092
6663,162.04931809820337,7752.581,637.91,17.084,0.338,0.978,Ниже среднего,14948.265,2385491.2265284434,10.586,18.26414201183432,7057666.350675868,-350.97269012000015
511,323.3343914235434,9318.804,946.581,61.972,1.227,0.952,Сильный,51873.927,16489313.850178747,22.127000000000002,10.06239608801956,13438723.594277706,5717.238140649001
8343,144.6331661847425,6670.771,623.619,1.55,0.279,0.985,Слабый,6652.691,959513.9250826901,8.426,5.531612903225806,3439118.011049068,-264.191323374
7433,372.844530287302,9758.458,1063.792,88.128,1.745,0.981,Сильный,74064.531,27133660.396479756,27.012999999999998,7.959816618911174,15549375.585375218,15451.356041519995
3015,140.4554762739988,6703.409,449.619,9.462,0.075,0.962,Слабый,337.19800000000004,45382.56893889176,6.928,,605100.9191852235,-148.80356759999998
4250,145.21991097267795,7080.925,594.366,12.644,0.25,0.968,Ниже среднего,8498.086,1216568.1865807318,8.943,,4866272.746322927,-316.65821550000004
8410,201.51662300647635,8482.99,690.033,24.206,0.479,0.985,Выше среднего,21980.141000000003,4358716.089832584,13.062,16.1098121085595,9099616.05393024,-287.6016369659999
6725,145.2201204121882,7096.631,577.913,11.974,0.237,0.978,Ниже среднего,8497.957,1216552.9503893855,8.839,19.53569620253165,5133134.811769559,-331.16744534099996
8900,372.8400273378319,9733.701,1072.82,89.598,1.774,0.988,Сильный,74045.463,27126392.651274495,27.604999999999997,7.829695603156708,15291089.431383593,16494.503161399996
9968,241.565646154439,8798.209,761.929,33.579,0.665,0.992,Выше среднего,30254.234,7189559.376299399,15.738000000000001,13.924691729323307,10811367.48315699,271.3669503299997
520,323.3353339013395,9319.169,945.543,61.875,1.225,0.952,Сильный,51874.124,16489399.097952412,22.105,10.078824489795918,13460733.957512172,5674.136318375001
8610,280.4470440328176,9124.953,810.222,42.983,0.851,0.986,Сильный,39660.983,10936385.564888159,18.433,12.694759106933022,12851216.880009588,1164.2821412259996
11654,372.8430642107304,9739.675,1043.666,86.655,1.715,0.999,Сильный,74061.12299999999,27132318.846922964,27.125,8.099055393586005,15820594.079838462,14312.43002875
11269,143.16876512914916,6727.382,494.706,7.735,0.125,0.998,Слабый,2891.971,406489.4825239296,7.704000000000001,24.69312,3251915.860191437,-232.366122
6092,372.8415981341586,9747.66,1085.938,90.524,1.792,0.976,Сильный,74048.999,27127604.58198073,27.511000000000003,,15138172.199766032,17251.842617856008
3955,201.51714660525192,8500.166,700.686,24.708,0.489,0.966,Выше среднего,21985.908,4359876.2642970355,13.038,15.780368098159508,8915902.380975533,-225.14730274799976
11114,372.8417028539138,9734.69,1052.631,87.638,1.735,0.997,Сильный,74054.955,27129906.66913115,27.333,8.005694524495677,15636833.81506118,15015.514338405004
5653,143.18143621951864,6779.081,504.216,8.113,0.132,0.974,Слабый,2885.9939999999997,405655.91783969145,7.697,23.383636363636363,3073150.892724935,-235.493471136
6417,147.49609956995886,6689.458,580.119,0.0,0.219,0.977,Слабый,4885.493,717361.2923879541,8.129999999999999,7.047123287671233,3275622.339671023,-277.5414440699999
8349,280.446625153797,9123.923,813.845,43.256,0.856,0.985,Сильный,39661.632000000005,10936580.406482125,18.480999999999998,12.620607476635515,12776378.979535192,1231.4873489200004
11824,323.31575130713213,9295.22,905.274,59.22,1.172,1.0,Сильный,51869.081000000006,16486802.925093189,22.139000000000003,10.534607508532424,14067237.990693849,4392.136904792
11280,162.04774730187654,7695.209,635.12,17.022,0.337,0.998,Ниже среднего,14944.339,2384838.7097417666,10.673,18.31833827893175,7076672.729204055,-362.84528488
3989,145.21980625292284,7075.521,597.276,12.762,0.253,0.967,Ниже среднего,8497.929,1216545.090669004,8.966000000000001,18.3002371541502,4808478.619245075,-314.68124415200015
1109,145.22179592827013,7151.689,588.641,12.376,0.245,0.954,Ниже среднего,8501.491,1217064.8070117272,8.825,18.89779591836735,4967611.457190723,-318.60857787500004
11454,280.4451590772253,9121.32,798.679,42.252,0.837,0.998,Сильный,39667.758,10938176.738534383,18.411,12.90709677419355,13068311.51557274,965.8838287529996
7247,145.2202251319433,7107.43,572.378,11.744,0.232,0.98,Ниже среднего,8498.764,1216666.0828925308,8.796,19.956724137931037,5244250.357295391,-333.8988339839999
1038,162.0506794550199,7805.459,649.775,17.566,0.348,0.954,Ниже среднего,14952.314,2386149.9084808435,10.567,17.739310344827587,6856752.610577137,-317.0765721000001
10827,145.0112045007245,6625.633,536.418,5.452,0.174,0.996,Слабый,3398.261,490035.05826845777,7.814,8.869655172413793,2816293.43832447,-271.35887215199995
20,145.22106288998427,7116.987,604.338,13.018,0.258,0.95,Ниже среднего,8500.168,1216873.5067598561,8.948,17.94558139534884,4716563.979689364,-303.9527866080001
5431,201.513690853333,8477.183,714.242,25.537,0.505,0.973,Выше среднего,21980.542,4358755.2391159525,13.258,15.280396039603959,8631198.493298916,-145.67611982000025
4226,241.57946916211483,8809.069,789.591,35.198,0.697,0.968,Выше среднего,30255.408,7190228.78825438,15.879,13.285394548063127,10315966.697638996,593.127127833
6349,201.5133766940676,8471.624,714.108,25.555,0.506,0.977,Выше среднего,21978.956000000002,4358418.364918026,13.289,15.250197628458498,8613475.029482266,-147.20693072800034
5922,146.5636748703734,6678.129,496.219,0.0,0.119,0.975,Слабый,1971.046,285838.1519347437,7.464,12.969075630252101,2402001.276762552,-212.977320696
4606,323.3243383270519,9313.822,921.548,60.041,1.189,0.969,Сильный,51870.399,16487697.982626844,21.917,10.383986543313709,13866861.213311054,4835.253408524
934,323.3271657604401,9326.051,924.51,59.93,1.186,0.953,Сильный,51870.581,16487885.491450656,21.676,,13902095.692622814,4846.165313359999
5100,280.4483006698789,9132.141,820.013,43.512,0.862,0.971,Сильный,39651.025,10933706.367963556,18.374,12.532761020881672,12684114.115967004,1330.6304910440003
10775,145.2169788195346,7011.825,584.303,12.281,0.243,0.996,Ниже среднего,8494.249,1215999.7851166662,8.982,19.053333333333335,5004114.342043894,-331.09781632199997
7417,145.95012182512735,6815.582,565.14,0.0,0.207,0.981,Слабый,5714.682,824887.9041371024,8.258,14.911304347826087,3984965.720469094,-292.06910916
9922,201.51410973235343,8463.987,699.649,24.811,0.491,0.992,Выше среднего,21975.419,4357724.6882063765,13.235000000000001,15.716089613034622,8875203.030970218,-236.22279313500002
394,323.3342867037883,9324.072,933.993,60.767,1.203,0.951,Сильный,51873.037,16489012.335504316,21.837,10.263142144638403,13706577.169995274,5201.2584886230015
8207,372.8405509366074,9738.109,1075.162,89.719,1.776,0.985,Сильный,74048.15400000001,27127165.615014166,27.553,7.820878378378378,15274304.963408876,16596.596720736
6032,145.2203298516984,7105.961,578.45,11.991,0.237,0.975,Ниже среднего,8498.876999999999,1216683.9510211905,8.829,19.53569620253165,5133687.557051437,-329.6691211499999
1737,148.4027632097849,6737.96,568.712,0.0,0.201,0.957,Слабый,4195.892,619250.3014333677,7.984999999999999,,3080847.270812774,-268.49473068
2165,241.63287623722584,8824.728,788.868,35.088,0.695,0.959,Выше среднего,30284.399999999998,7198708.76802659,15.794,13.323625899280575,10357854.342484303,580.3230484400005
561,162.0506794550199,7808.118,651.591,17.645,0.349,0.952,Ниже среднего,14952.538999999999,2386184.4252755675,10.574,17.68848137535817,6837204.65695005,-311.49672733399996
3069,140.9812741644546,6661.22,667.503,20.473,0.332,0.963,Слабый,7028.3910000000005,988783.0219105129,8.544,,2978262.1141882916,-194.2991381759999
7366,201.51473805088412,8475.955,703.337,24.957,0.494,0.981,Выше среднего,21979.113,4358487.507334756,13.192,15.620647773279352,8822849.205131084,-212.8598062240001
10998,142.84319141048215,6592.991,545.016,9.966,0.185,0.997,Слабый,3378.701,480207.2411767393,7.838,8.342270270270271,2595714.817171564,-276.93252952000006
9471,162.0485850599175,7726.054,632.571,16.869,0.334,0.99,Ниже среднего,14946.249,2385157.958953968,10.599,18.482874251497005,7141191.493874155,-366.1454863139999
1162,141.37522988321476,6866.563,519.953,18.232,0.162,0.954,Слабый,3369.304,469737.5800668659,7.664,19.053333333333335,2899614.691770777,-268.237041696
6074,372.8462058033839,9769.033,1066.16,88.078,1.744,0.975,Сильный,74068.62000000001,27135289.748921968,26.828,7.964380733944954,15559225.773464432,15447.536645120004
4411,144.87904816976345,6848.173,510.087,0.0,0.138,0.968,Слабый,3601.9449999999997,513314.1462550249,7.764,22.36695652173913,3719667.7264856873,-242.05041741600004
1729,140.78785677674858,6818.168,575.75,23.736,0.228,0.957,Слабый,4895.745,682961.1892847235,8.087,13.537894736842105,2995443.812652296,-295.474719
1527,280.447462911838,9135.97,837.175,44.609,0.883,0.956,Сильный,39644.598,10931931.847491577,18.436,12.234699886749718,12380443.768393632,1647.0266108999995
4929,280.4453685167356,9122.539,839.416,45.048,0.892,0.971,Сильный,39659.700000000004,10935981.167578531,18.708,12.111255605381166,12260068.573518533,1725.7582229760008
842,241.61664467518224,8840.585,782.154,34.595,0.685,0.953,Выше среднего,30289.19,7199328.903364199,15.653,13.518131386861311,10509969.20199153,494.87726497
2930,241.62617417289812,8828.69,779.568,34.505,0.683,0.962,Выше среднего,30285.767,7198837.953845141,15.703,13.55771595900439,10540026.28674252,467.2732916319998
7450,323.32046369611254,9308.844,909.392,59.184,1.172,0.981,Сильный,51869.707,16487247.561935598,21.886,10.534607508532424,14067617.373665188,4447.572769664001
58,201.51463333112903,8500.268,725.531,26.034,0.515,0.95,Выше среднего,21988.291999999998,4360297.060458304,13.205,14.983689320388349,8466596.23389962,-71.19521967500035
5245,323.3245477665622,9309.252,926.794,60.599,1.2,0.972,Сильный,51870.486999999994,16487797.900423039,22.08,10.2888,13739831.583685866,5055.277823999999
2865,162.04984169697894,7776.888,650.466,17.63,0.349,0.962,Ниже среднего,14950.406,2385835.83592805,10.623000000000001,17.68848137535817,6836205.833604728,-317.111061018
3846,162.04994641673406,7777.715,644.223,17.345,0.343,0.966,Ниже среднего,14950.202,2385803.0231128656,10.581000000000001,17.99790087463557,6955693.944935468,-333.0847058910002
6486,280.44777707110336,9128.24,818.052,43.458,0.86,0.977,Сильный,39655.459,10934968.722795984,18.432000000000002,12.561906976744186,12715079.91022789,1300.6489190400005
2291,241.6161210764067,8839.156,773.59,34.085,0.675,0.959,Выше среднего,30288.921,7199257.005400214,15.597999999999999,13.718399999999997,10665565.933926243,395.77195350000034
6022,145.85126637629438,6830.796,535.918,0.0,0.17,0.975,Слабый,4584.3769999999995,659533.4466516817,8.016,18.15670588235294,3879608.509715774,-272.65574304
83,145.22148176900473,7135.12,598.568,12.78,0.253,0.95,Ниже среднего,8500.871,1216976.493453189,8.896,18.3002371541502,4810183.76858968,-309.31655321600005
5236,323.32423360729683,9308.833,927.846,60.697,1.202,0.972,Сильный,51870.482,16487769.270359708,22.101,10.271680532445924,13716946.14838578,5096.466112092
11184,280.444007159919,9119.792,803.221,42.602,0.843,0.997,Сильный,39669.08,10938540.136884088,18.477,12.81523131672598,12975729.699743876,1047.041757531
1945,140.7788508778083,6810.7,572.811,23.673,0.224,0.958,Слабый,4747.201,662011.8423586391,8.065999999999999,,2955410.0105296387,-294.84727417599987
1649,145.22043457145355,7098.244,601.892,12.932,0.256,0.957,Ниже среднего,8499.13,1216720.9882717184,8.96,18.08578125,4752816.3604363995,-307.61156607999993
10544,241.57035854341945,8781.021,775.799,34.522,0.683,0.995,Выше среднего,30252.565,7189297.896525614,15.942,13.55771595900439,10526058.413653899,433.3468744139998
11352,162.04816618089703,7710.637,628.211,16.685,0.33,0.998,Ниже среднего,14945.111,2384966.086366119,10.600000000000001,18.70690909090909,7227169.958685208,-377.045922
2724,280.44777707110336,9135.015,830.721,44.188,0.875,0.961,Сильный,39646.515999999996,10932444.412354566,18.403,12.34656,12494222.185548076,1525.256742625
7501,201.5129578150472,8465.169,713.47,25.55,0.506,0.982,Выше среднего,21976.788999999997,4357975.044797525,13.322,15.250197628458498,8612598.902761906,-151.87319795999983
8346,162.04921337844823,7746.855,630.495,16.749,0.332,0.985,Ниже среднего,14947.568,2385374.467981987,10.548,,7184862.8553674305,-369.47175768
414,140.9151959989741,6723.539,451.241,6.793,0.073,0.951,Слабый,282.338,37718.4886826534,6.9270000000000005,21.1413698630137,516691.6257897726,-143.994368289
5267,145.2201204121882,7094.877,585.311,12.274,0.243,0.972,Ниже среднего,8498.569000000001,1216636.597178743,8.879,19.053333333333335,5006734.967813757,-325.1261343329999
11333,145.21813073684092,7032.52,575.51,11.913,0.236,0.998,Ниже среднего,8495.053,1216122.701039791,8.909,,5153062.292541488,-337.43407676
2450,145.22095817022915,7119.662,591.525,12.509,0.248,0.96,Ниже среднего,8499.862000000001,1216829.0629778248,8.879999999999999,18.6691935483871,4906568.802329939,-318.168624
10684,142.2937268553693,6760.942,596.201,17.852,0.262,0.995,Слабый,6665.791,941398.3639216275,8.422,,3593123.5264184256,-308.475440636
9952,323.3185787405204,9299.526,910.423,59.527,1.178,0.992,Сильный,51869.602999999996,16487126.869208582,22.104000000000003,10.480950764006792,13995863.216645656,4541.715378576
11163,162.0485850599175,7722.505,624.395,16.494,0.327,0.997,Ниже среднего,14945.689,2385070.1286208653,10.552,18.878532110091744,7293792.442265643,-385.09349892000006
5857,323.3051746118651,9303.329,935.459,61.471,1.217,0.975,Сильный,51866.515,16485516.107324053,22.309,10.145078060805258,13546028.025738744,5415.322421327
10896,280.4420174845717,9117.257,809.806,43.115,0.854,0.996,Сильный,39671.748,10939211.871933317,18.576999999999998,12.65016393442623,12809381.58306009,1170.9143289480005
7401,162.04931809820337,7753.774,633.124,16.863,0.334,0.981,Ниже среднего,14948.108,2385460.599207323,10.552999999999999,18.482874251497005,7142097.602417135,-362.6072429519999
7850,145.21938737390235,7072.822,579.655,12.058,0.239,0.983,Ниже среднего,8497.230000000001,1216440.9445721589,8.878,19.37221757322176,5089711.065155476,-331.73938749000007
7528,201.51348141382272,8467.854,710.537,25.381,0.502,0.982,Выше среднего,21977.378,4358106.2688111225,13.286,15.371713147410357,8681486.591257216,-169.82731183599975
11342,145.21813073684092,7035.021,574.727,11.879,0.235,0.998,Ниже среднего,8495.165,1216137.5132891263,8.901,19.701957446808514,5175053.248038836,-337.34037865500005
2907,148.262857616945,6725.084,529.223,0.0,0.156,0.962,Слабый,2958.919,435304.93916336715,7.696,9.893076923076924,2790416.276688251,-248.25150355200003
11446,323.3159607466424,9300.504,896.251,58.331,1.155,0.998,Сильный,51868.935000000005,16486780.626790056,21.919,10.689662337662337,14274268.940943772,4056.9856276949995
10246,201.51578524843532,8471.979,689.73,24.237,0.48,0.993,Выше среднего,21976.858,4358046.468960224,13.122,16.07625,9079263.477000466,-291.4343711999999
3538,140.98483463612868,6783.252,541.921,21.342,0.185,0.965,Слабый,3673.5,511516.1015727552,7.868,16.684540540540542,2764951.9003932714,-282.49751081999995
2133,137.40519924687337,6643.584,546.688,31.005,0.195,0.959,Слабый,2331.466,318838.3220572269,7.543,7.914461538461539,1635068.3182421892,-278.45618112
1897,323.3274799197055,9314.373,944.614,61.932,1.226,0.958,Сильный,51872.348,16488509.044159038,22.195999999999998,10.070603588907016,13449028.584142772,5676.865917744
7578,141.548750517448,6635.794,470.469,9.104,0.098,0.982,Слабый,999.893,139386.593353294,7.181,15.748163265306122,1422312.1770744286,-186.86425487800003
6482,145.2200156924331,7096.36,579.14,12.024,0.238,0.977,Ниже среднего,8498.427,1216615.6794871402,8.845,19.453613445378153,5111830.586080421,-330.2075546000001
8786,145.21907321463698,7063.992,577.909,11.992,0.237,0.987,Ниже среднего,8496.717,1216366.4295525833,8.879999999999999,19.53569620253165,5132347.804019338,-332.71199495999997
4742,372.8446350070572,9759.862,1087.274,90.349,1.788,0.97,Сильный,74054.838,27130168.870532233,27.292,,15173472.522669034,17141.502374303996
9251,372.8437972490162,9744.479,1060.273,88.138,1.745,0.989,Сильный,74056.801,27130839.057464916,27.243,7.959816618911174,15547758.772186197,15415.625496554996
9113,241.5907788956677,8811.822,754.388,33.046,0.654,0.988,Выше среднего,30261.877,7192107.478432797,15.608,14.158899082568805,10997106.236135775,187.69793721600035
9101,145.21949209365746,7084.514,570.474,11.679,0.231,0.988,Ниже среднего,8497.567,1216489.018099867,8.815,20.043116883116884,5266186.2255405495,-337.05480038999985
1817,372.8466246824044,9784.98,1090.799,90.01,1.782,0.957,Сильный,74068.669,27135196.82219076,26.825,7.794545454545454,15227383.177435894,16960.155017849997
11648,145.21854961586138,7052.881,568.097,11.599,0.23,0.999,Ниже среднего,8495.861,1216242.9646371896,8.843,20.13026086956522,5288012.889726912,-341.49623267000004
1937,145.2207487307189,7111.396,596.499,12.711,0.252,0.958,Ниже среднего,8499.699,1216802.1848619652,8.915,18.372857142857146,4828580.098658592,-313.40015657999993
337,201.51547108917,8503.86,720.091,25.729,0.509,0.951,Выше среднего,21988.759000000002,4360425.416511132,13.148,15.160314341846757,8566651.112988472,-106.46830978799994
5531,241.63507535208336,8819.952,770.604,34.009,0.673,0.973,Выше среднего,30283.482,7198542.797491505,15.686,13.759167904903416,10696200.293449486,365.30328551200046
2335,201.51777492378267,8508.803,702.473,24.767,0.49,0.959,Выше среднего,21988.601000000002,4360420.857469993,13.002,15.748163265306122,8898818.076469373,-213.5998464600003
4474,141.7238419480081,6778.623,519.017,16.123,0.155,0.969,Слабый,3064.8140000000003,427582.24839555996,7.737,19.913806451612903,2758595.1509390967,-260.21360800499997
2072,145.22169120851498,7150.103,584.443,12.209,0.242,0.958,Ниже среднего,8501.216,1217025.1551920762,8.805,19.132066115702482,5029029.566909406,-322.93917117
5503,201.51515692990463,8484.395,706.51,25.091,0.497,0.973,Выше среднего,21981.914,4359046.098946634,13.165,15.52635814889336,8770716.496874515,-192.95321745000007
1726,323.33397254452296,9317.553,938.027,61.293,1.213,0.957,Сильный,51873.322,16489117.56462837,22.037,10.178532563891178,13593666.582546059,5400.359695787001
8399,145.21980625292284,7091.172,571.763,11.728,0.232,0.985,Ниже среднего,8497.96,1216547.5594057103,8.814,19.956724137931037,5243739.480197027,-335.8397009759999
1047,162.0506794550199,7807.483,648.897,17.524,0.347,0.954,Ниже среднего,14952.425000000001,2386167.5720049045,10.558,17.79043227665706,6876563.608083298,-319.1128154779998
5216,241.5903600166472,8811.102,780.814,34.659,0.686,0.972,Выше среднего,30259.014,7191412.032543297,15.804,,10483107.919159325,485.85295281599963
9706,201.51452861137392,8466.682,698.249,24.723,0.489,0.991,Выше среднего,21975.939,4357836.921866563,13.21,15.780368098159508,8911731.94655739,-243.85975718999984
2815,323.3191023392959,9311.166,944.041,61.972,1.227,0.962,Сильный,51870.651,16487476.888414187,22.257,10.06239608801956,13437226.477925172,5681.4621948990025
4808,145.2203298516984,7101.952,585.407,12.274,0.243,0.97,Ниже среднего,8498.891,1216683.9510211905,8.87,19.053333333333335,5006929.839593377,-324.58965812999986
9578,145.21949209365746,7082.619,568.849,11.613,0.23,0.99,Ниже среднего,8497.431,1216470.139565895,8.809,20.13026086956522,5289000.60680824,-338.6596265699999
2320,323.32580440362364,9321.861,922.318,59.873,1.185,0.959,Сильный,51870.352,16487787.293835098,21.744999999999997,,13913744.551759576,4801.009618349999
5282,372.84599636387367,9764.253,1078.014,89.344,1.769,0.972,Сильный,74061.73499999999,27132715.664098136,27.081,7.851825890333522,15337883.360145923,16384.621526045994
8639,372.8450538860776,9756.322,1054.971,87.332,1.729,0.986,Сильный,74066.23,27134173.1329934,26.941,8.033475997686523,15693564.565062694,14857.984642319001
7168,201.51557580892512,8480.48,700.047,24.759,0.49,0.98,Выше среднего,21979.981,4358662.002979443,13.143,15.748163265306122,8895228.577509068,-231.53983670999986
3386,145.2206440109638,7110.49,589.708,12.441,0.246,0.964,Ниже среднего,8499.47,1216770.9563023192,8.882,18.8209756097561,4946223.399602924,-319.643923824
8457,280.441389166041,9116.403,827.423,44.356,0.878,0.986,Сильный,39670.564,10938802.036621056,18.732,12.304373576309796,12458772.25127683,1503.606288408
8118,138.02011364893596,6629.567,506.935,26.605,0.156,0.984,Слабый,1810.507,248312.40052614163,7.337,9.893076923076924,1591746.1572188565,-262.18138518
766,141.65221363550626,6824.87,614.188,21.327,0.271,0.953,Слабый,6250.037,878564.283499596,8.383000000000001,11.38981549815498,3241934.625459763,-276.7316489160001
2861,372.8437972490162,9768.369,1097.287,91.078,1.803,0.962,Сильный,74055.69200000001,27130254.811234627,27.259,7.703760399334443,15047284.97572636,17756.525166399002
4969,142.62327992473087,6787.213,505.911,10.977,0.137,0.971,Слабый,2866.399,401557.1282375991,7.676,22.530218978102187,2931073.928741599,-241.96435346800004
3971,145.22127232949452,7139.3,578.51,11.976,0.237,0.966,Ниже среднего,8500.569000000001,1216931.4623814085,8.789,19.53569620253165,5134731.9087823145,-328.05056756999994
1144,141.16767532856758,6860.282,527.271,19.825,0.171,0.954,Слабый,3543.6310000000003,493753.0020978345,7.712000000000001,18.050526315789472,2887444.456712482,-275.2617862080001
9842,241.5710915817052,8784.064,777.303,34.596,0.685,0.992,Выше среднего,30252.861,7189363.1950392155,15.934999999999999,13.518131386861311,10495420.722684985,450.841863925
10681,323.3177409824794,9299.174,905.359,59.12,1.17,0.995,Сильный,51869.105,16486998.146524245,22.054000000000002,10.552615384615386,14091451.407285681,4370.000761620001
2510,372.8468341219147,9780.845,1088.181,89.877,1.779,0.96,Сильный,74067.06499999999,27134658.014476717,26.876,7.807689713322091,15252758.861425923,16838.620253124
5332,201.5163088472109,8491.679,700.391,24.729,0.49,0.972,Выше среднего,21983.527,4359391.225894727,13.083,15.748163265306122,8896716.787540259,-228.27754803000022
2273,241.61727299371304,8837.093,775.733,34.226,0.678,0.959,Выше среднего,30288.232000000004,7199131.135976931,15.626000000000001,13.657699115044245,10618187.516190164,420.94840772399954
7001,372.8447397268122,9763.912,1062.596,87.871,1.739,0.979,Сильный,74068.541,27134982.086351775,26.886,7.98728004600345,15603784.983526034,15269.915637384
6703,323.3220344924393,9308.422,916.516,59.781,1.183,0.978,Сильный,51870.168,16487468.954093862,21.977999999999998,10.436652578191039,13936998.270578073,4693.411306583998
11193,280.4445307586946,9120.29,802.238,42.522,0.842,0.997,Сильный,39668.375,10938384.720800536,18.46,12.830451306413304,12990955.725416314,1029.5584301600009
7607,145.21938737390235,7072.507,580.883,12.108,0.24,0.982,Ниже среднего,8497.251999999999,1216443.848959906,8.885,19.291500000000003,5068516.037332942,-330.7714907999999
8451,145.5243313008108,6640.312,557.148,4.42,0.194,0.986,Слабый,3898.96,564535.4489018613,7.957,7.9552577319587625,2909976.540731244,-276.08632061599997
9894,162.04816618089703,7711.991,636.017,17.044,0.337,0.992,Ниже среднего,14945.57,2385040.1423780634,10.648,18.31833827893175,7077270.4521604255,-358.77659760799986
102,162.05088889453015,7814.85,651.649,17.64,0.349,0.95,Ниже среднего,14952.965,2386263.673174848,10.562,17.68848137535817,6837431.728294694,-310.92942643799995
1989,146.85416747107536,6732.2,613.732,0.0,0.256,0.958,Слабый,5833.397,853523.3234877611,8.313,6.02859375,3334075.4823740665,-260.2019543040001
4256,372.8434830897508,9760.519,1091.327,90.718,1.796,0.968,Сильный,74053.56599999999,27129618.250830036,27.334,7.733786191536748,15105578.090662602,17443.664759528
8655,280.44798651061353,9127.451,805.311,42.589,0.843,0.986,Сильный,39658.338,10935759.619404268,18.347,12.81523131672598,12972431.33974409,1072.0000370310006
8018,372.8420170131792,9743.847,1071.796,89.26,1.767,0.984,Сильный,74052.65000000001,27129101.44687786,27.402,7.860713073005094,15353198.328736763,16259.018679864002
828,140.1019423807148,6705.866,662.607,23.789,0.33,0.953,Слабый,6987.756,977046.5684251308,8.446,4.676727272727272,2960747.1770458505,-204.5595017400001
8699,241.57255765827688,8792.212,776.47,34.5,0.683,0.987,Выше среднего,30253.497,7189553.21970729,15.881,,10526432.239688564,438.9668798100003
11517,280.4335351844071,9111.353,817.016,43.743,0.866,0.999,Сильный,39680.913,10941363.119765352,18.749000000000002,12.474872979214782,12634368.49857431,1315.4271401439996
1672,323.3298884740733,9315.359,944.241,61.874,1.225,0.957,Сильный,51872.93,16488804.52970949,22.17,10.078824489795918,13460248.595681215,5655.46113825
